parameter,fsmach,alpha,Cl_integration,Cl_surface,Cd_surface
0.0,0.7,0.0,0.0508464538,0.0508464575,0.00485849846
0.0,0.7,5.0,1.21708858,1.21577072,0.0681962073
0.0,0.7,10.0,1.8924644,1.87330496,0.27422601
0.0,0.8,0.0,0.0747695342,0.0747695044,0.0146599188
0.0,0.8,5.0,1.41671932,1.40611494,0.183067352
0.0,0.8,10.0,2.10272336,2.05841732,0.43522945
0.0,0.9,0.0,0.0775833428,0.0775833875,0.114767641
0.0,0.9,5.0,1.10303712,1.09053779,0.191029668
0.0,0.9,10.0,1.78581214,1.74544144,0.385188937
