5.0,0.23,8.0,1.45896363,1.46190608,0.0813447833
5.0,0.23,9.0,1.64399111,1.64712155,0.109887294
5.0,0.23,10.0,1.8213557,1.82222128,0.154703349
5.0,0.23,11.0,2.98885775,2.91857719,0.649235427
5.0,0.23,12.0,3.57323623,3.45900249,0.912759364
5.0,0.23,13.0,3.06327105,3.01187325,0.571792722
5.0,0.23,14.0,2.87624192,2.84490156,0.4791224
5.0,0.23,15.0,3.24663973,3.15833211,0.757092357
5.0,0.25,8.0,1.45540416,1.45823455,0.0818829611
5.0,0.25,9.0,1.63870287,1.64148223,0.111681104
5.0,0.25,10.0,1.80940473,1.80600393,0.17781195
5.0,0.25,11.0,3.39787745,3.29678965,0.846941054
5.0,0.25,12.0,3.02926779,2.97025251,0.596081138
5.0,0.25,13.0,2.66624188,2.64708614,0.38702628
5.0,0.25,14.0,3.07487822,2.99760771,0.687529922
5.0,0.25,15.0,3.23765683,3.09178329,0.970515668
5.0,0.27,8.0,1.45426381,1.45695484,0.082789667
5.0,0.27,9.0,1.63458586,1.63690579,0.114249423
5.0,0.27,10.0,1.99182081,1.96622074,0.319487125
5.0,0.27,11.0,2.65532565,2.6010499,0.53486526
5.0,0.27,12.0,2.41317821,2.40354538,0.299226195
5.0,0.27,13.0,2.86834669,2.80862546,0.585566103
5.0,0.27,14.0,3.10938835,2.9751482,0.919998527
5.0,0.27,15.0,3.1563971,3.01635861,0.93804431
