   0.14030E+01   0.00000E+00   0.98828E+00   0.21849E+00   0.26934E-02   0.21711E+00   0.71504E+00   0.20745E-01  -0.20745E-01
   0.13450E+01   0.00000E+00   0.10118E+01   0.26879E+00  -0.00000E+00   0.26877E+00   0.72280E+00   0.23349E+00  -0.23349E+00
   0.12944E+01   0.00000E+00   0.10113E+01   0.26639E+00  -0.00000E+00   0.26634E+00   0.72267E+00   0.23006E+00  -0.23006E+00
   0.12502E+01   0.00000E+00   0.10125E+01   0.26096E+00  -0.00000E+00   0.26083E+00   0.72393E+00   0.26454E+00  -0.26454E+00
   0.12117E+01   0.00000E+00   0.10129E+01   0.25585E+00  -0.00000E+00   0.25566E+00   0.72456E+00   0.28183E+00  -0.28183E+00
   0.11782E+01   0.00000E+00   0.10134E+01   0.25356E+00  -0.00000E+00   0.25334E+00   0.72510E+00   0.29661E+00  -0.29661E+00
   0.11489E+01   0.00000E+00   0.10145E+01   0.25154E+00  -0.00000E+00   0.25129E+00   0.72606E+00   0.32292E+00  -0.32292E+00
   0.11233E+01   0.00000E+00   0.10141E+01   0.24946E+00  -0.00000E+00   0.24920E+00   0.72589E+00   0.31833E+00  -0.31833E+00
   0.11011E+01   0.00000E+00   0.10164E+01   0.24652E+00  -0.00000E+00   0.24622E+00   0.72775E+00   0.36947E+00  -0.36947E+00
   0.10816E+01   0.00000E+00   0.10152E+01   0.24177E+00  -0.00000E+00   0.24143E+00   0.72721E+00   0.35445E+00  -0.35445E+00
   0.10647E+01   0.00000E+00   0.10146E+01   0.24104E+00  -0.00000E+00   0.24068E+00   0.72688E+00   0.34554E+00  -0.34554E+00
   0.10499E+01   0.00000E+00   0.10163E+01   0.24148E+00  -0.00000E+00   0.24113E+00   0.72804E+00   0.37724E+00  -0.37724E+00
   0.10370E+01   0.00000E+00   0.10159E+01   0.23850E+00  -0.00000E+00   0.23812E+00   0.72797E+00   0.37552E+00  -0.37552E+00
   0.10258E+01   0.00000E+00   0.10161E+01   0.23748E+00  -0.00000E+00   0.23709E+00   0.72816E+00   0.38052E+00  -0.38052E+00
   0.10160E+01   0.00000E+00   0.10166E+01   0.23588E+00  -0.00000E+00   0.23547E+00   0.72865E+00   0.39403E+00  -0.39403E+00
   0.10075E+01   0.00000E+00   0.10150E+01   0.23377E+00  -0.00000E+00   0.23334E+00   0.72765E+00   0.36654E+00  -0.36654E+00
   0.10000E+01   0.00000E+00   0.10167E+01   0.23459E+00  -0.62242E-02   0.23426E+00   0.72881E+00   0.39858E+00  -0.39858E+00
   0.99256E+00   0.39639E-03   0.10183E+01   0.23146E+00  -0.11057E-01   0.23128E+00   0.73015E+00   0.43512E+00  -0.43512E+00
   0.98471E+00   0.73039E-03   0.10183E+01   0.22744E+00  -0.83738E-02   0.22712E+00   0.73042E+00   0.44274E+00  -0.44274E+00
   0.97645E+00   0.98952E-03   0.10194E+01   0.22490E+00  -0.56791E-02   0.22447E+00   0.73138E+00   0.46891E+00  -0.46891E+00
   0.96776E+00   0.11584E-02   0.10198E+01   0.22267E+00  -0.29012E-02   0.22217E+00   0.73181E+00   0.48067E+00  -0.48067E+00
   0.95863E+00   0.12217E-02   0.10204E+01   0.22102E+00  -0.11104E-03   0.22050E+00   0.73233E+00   0.49495E+00  -0.49495E+00
